1;./csv/livre1-dp.jpg;Suis-je hypersensible ? Le cahier pratique: 40 situations - 40 solutions;Fabrice Midal, Nathalie Latrille;Tu es hypersensible? Tu as de la chance! Dès que tu la nommes, ton hypersensibilité devient un don... Mais la question reste:comment faire au quotidien dans un monde robotisé et sans coeur? Ces 40 situations m'ont été souffl ées par des hypersensibles qui, comme moi, sont confrontés chaque jour à des défis immenses:comment me débrouiller avec ma susceptibilité, comment ne pas rougir, ne pas m'énerver (ni rester enfermé dans ma coquille), comment travailler en open space (et d'ailleurs en suis-je capable?), comment exprimer mes émotions de manière juste, comment apprendre à dire non, comment être moi sans fâcher les autres? Ce sont des situations que tu rencontres dans ta vie de tous les jours. Dans ce livre, tu découvriras des exercices et des bonnes pratiques à mettre en oeuvre pour y répondre en toute facilité. C'est tout l'art de vivre ton hypersensibilité...
2;./csv/livre2-dp.jpg;Méditer pour les Nuls;Fabrice Midal;"Vivre pleinement l'instant présent, apprendre à savourer la vie, choisir le calme et la sérénité... Plus facile à dire qu'à faire ! Si les bienfaits de la méditation ne sont plus à démontrer, cette pratique peut rester obscure pour certains. Elle est meme encore aujourd'hui victime de nombreuses idées reçues. Cet ouvrage de référence, écrit par le spécialiste Fabrice Midal, propose une vision moderne et décomplexée de la méditation.
Loin des clichés et des injonctions qui nous poussent à vouloir être serein, tout de suite et à chaque instant, découvrirez une méthode simple et naturelle pour s'approprier le merveilleux outil qu'est la méditation et pratiquer simplement, en fonction de ses besoins.
"La méditation n'a pas d'objectif quantifiable. Elle est un rendez-vous, une rencontre ; l'expérience de se sentir vivant."
3;./csv/livre3-dp.jpg;Stop ! J'arrête de me prendre la tête !;Chilina Hills;Comment réagissez-vous lorsque les choses ne vont pas comme vous voulez ? Êtes-vous parfois démuni – ou exaspéré – face aux réactions de certaines personnes ? Avez-vous parfois du mal à demander, ou au contraire à dire NON ? Vous-est-il difficile de prendre une décision parce que vous avez peur de vous tromper ? Rencontrez-vous parfois de la résistance, voire de l'hostilité, alors que vous êtes animé des meilleures intentions ? Êtes-vous mortifié lorsque vous êtes en tort ou avez commis une erreur ? Pour ne plus subir ces situations quotidiennes, découvrez les mécanismes inconscients qui sont à l'oeuvre et ce qui les déclenche et des pistes concrètes pour agir positivement sur soi et sur les autres. Face à ces challenges récurrents, cet ouvrage vous propose des outils simples et extrêmement efficaces qui vous faciliteront grandement la vie jusqu'à obtenir parfois – souvent – des résultats inespérés.
4;./csv/livre4-dp.jpg;Précis de Hatha Yoga - Stade fondamental;Eva Ruchpaul;Dans cet ouvrage de référence, premier d'une série de 3 volumes, Eva Ruchpaul, sommité dans le monde du yoga, présente les fondements de cette pratique, les principaux asanas et 4 séances aujourd'hui devenues cultes en Hatha Yoga. Pour chaque posture, retrouvez : les informations de base , des conseils de pratique pour bien exécuter chaque posture , la posture complémentaire pour prolonger les bénéfices , des indications pour bien poser sa respiration.
5;./csv/livre5-dp.jpg;La Guérison des 5 blessures;Lise Bourbeau;Voici la suite tant attendue du best-seller de Lise Bourbeau, Les 5 blessures qui empêchent d'être soi-même. De quels moyens concrets dispose-t-on pour guérir nos souffrances ? Comment apprendre à reconnaître nos blessures et mieux appréhender quand celles-ci se réveillent ? En appliquant les conseils de Lise Bourbeau, vous prendrez conscience des innombrables occasions où l'ego dirige nos pensées, nos paroles et nos actes. Cette prise de conscience est non seulement une condition indispensable à la guérison, mais saura également vous aider à manifester les besoins essentiels de votre âme pour trouver la paix intérieure.
